1,Silly Season,Basketball + Netball,Family Dinner,BBQ Breaky + Coffee Night,Harbour Cruise,,,TKC Gnawty Night out
2,Club 6' Week,Basketball + Netball GRAND FINALS,Study Night,Bassers Best Auctions + Coffee Night,,Escape Rooms + IRC Chess,Tennis,Tennis + White Rabbit Gallery
3,Men's Health Week + MED Exams,Drag Queen Bingo,Study Night,Coffee Night + Ressie Pub Night,,Performance Night,Tennis,Tennis + Balls Run
4,Respect Week,Oz-Tag + Pride & Diversity,Study Night,Coffee Night + Soda Factory: Live Music Wednesdays,Drag Queen Bingo + IRC Speedfriending,LQBTQIA+ Record Painting,Cross Country + BBQ + TKC Culture Crawl,
5,Love Week,Oz-Tag,Study Night + Dino Date Night,Coffee Night + pARTner,IRC All You Can Eat Penny Lane,Love Week Wedding,Self-Care Saturdays,
6,NAIDOC Week + Flexi Week,,Study Night,Mari(Go) Karting + Coffee Night,,Sate of Origin: AFL,,Clothes Swap
7,,Oz-Tag,Study Night + Basser Photo,Trivia + Coffee Night,IRC Charity Bingo/Trivia,BASSER BALL,Recovery Day,
8,,Oz-Tag,Study Night,Xmas in July + Coffee Night,IRC Band Night,Cult-y Surprise,E-thans E-vent + Life Skills Workshop,
9,,,Study Night,Shwednesday,LGBTQIA - Movie Night + IRC alll you can eat,TKC International Friendship Day + TKC Cultural Dinner,Burgmann's Game + BBQ,
10,,,,,,,Slef-Care Saturday,City 2 Surf
